学習データ数,学習時間,秘密分散前の正解率,秘密分散後の正解率,一致率
1000,29.230342149734497,9.959999999999999,9.86,98.68
2000,58.11365485191345,8.200000000000001,7.86,97.09
3000,87.38987398147583,9.11,8.5,97.48
4000,115.83449387550354,6.959999999999999,6.2700000000000005,95.39999999999999
5000,143.8463580608368,10.89,9.379999999999999,93.97999999999999
6000,170.45034885406494,11.18,9.31,91.71000000000001
7000,197.49270510673523,14.499999999999998,12.04,90.34
8000,225.49168801307678,8.72,6.2700000000000005,88.24
9000,253.3208658695221,13.3,9.82,87.81
10000,282.9203898906708,13.91,8.55,84.85000000000001
